country departure,country arrival,number of routes
Lithuania,Sweden,5
Lithuania,Ukraine,1
Lithuania,United Kingdom,11
Luxembourg,Austria,2
Luxembourg,Cape Verde,1
Luxembourg,Denmark,1
Luxembourg,France,3
Luxembourg,Germany,9
Luxembourg,Italy,6
Luxembourg,Morocco,1
Luxembourg,Netherlands,1
Luxembourg,Portugal,3
Luxembourg,Spain,6
Luxembourg,Switzerland,2
Luxembourg,Tunisia,1
Luxembourg,United Kingdom,3
Macau,China,37
Macau,Japan,4
Macau,Malaysia,1
Macau,Philippines,6
Macau,Singapore,3
Macau,South Korea,4
Macau,Taiwan,6
Macau,Thailand,2
Macedonia,Austria,1
Macedonia,Croatia,1
Macedonia,Czech Republic,1
Macedonia,Germany,1
Macedonia,Hungary,1
Macedonia,Italy,4
Macedonia,Serbia,1
Macedonia,Slovenia,1
Macedonia,Switzerland,2
Macedonia,Turkey,3
Macedonia,United Kingdom,1
Madagascar,Comoros,4
Madagascar,France,4
Madagascar,Kenya,2
Madagascar,Madagascar,45
Madagascar,Mauritius,2
Madagascar,Mayotte,6
Madagascar,Reunion,9
Madagascar,South Africa,3
Madagascar,Thailand,2
Malawi,Congo,1
Malawi,Ethiopia,1
Malawi,Kenya,3
Malawi,Malawi,2
Malawi,South Africa,2
Malawi,Tanzania,1
Malawi,Zambia,5
Malawi,Zimbabwe,2
Malaysia,Australia,15
Malaysia,Bahrain,2
Malaysia,Bangladesh,3
Malaysia,Brunei,4
Malaysia,Myanmar,3
Malaysia,Cambodia,4
Malaysia,China,22
Malaysia,France,2
Malaysia,Germany,1
Malaysia,Hong Kong,10
Malaysia,India,17
Malaysia,Indonesia,46
Malaysia,Iran,2
Malaysia,Italy,2
Malaysia,Japan,9
Malaysia,Kazakhstan,1
Malaysia,Kuwait,1
Malaysia,Laos,1
Malaysia,Macau,1
Malaysia,Malaysia,223
Malaysia,Maldives,1
Malaysia,Mauritius,2
Malaysia,Nepal,1
Malaysia,Netherlands,3
Malaysia,New Zealand,2
Malaysia,Oman,2
Malaysia,Pakistan,4
Malaysia,Philippines,6
Malaysia,Qatar,2
Malaysia,Russia,1
Malaysia,Saudi Arabia,3
Malaysia,Singapore,35
Malaysia,South Africa,3
Malaysia,South Korea,6
Malaysia,Sri Lanka,3
Malaysia,Taiwan,8
Malaysia,Thailand,24
Malaysia,Turkey,2
Malaysia,United Arab Emirates,5
Malaysia,United Kingdom,3
Malaysia,Uzbekistan,2
Malaysia,Vietnam,7
Malaysia,Zimbabwe,1
Maldives,Austria,1
Maldives,China,3
Maldives,France,1
Maldives,Germany,3
Maldives,India,3
Maldives,Italy,2
Maldives,Malaysia,1
Maldives,Maldives,11
Maldives,Oman,1
Maldives,Qatar,1
Maldives,Russia,2
Maldives,Singapore,1
Maldives,Sri Lanka,5
Maldives,Switzerland,2
Maldives,Thailand,1
Maldives,United Arab Emirates,2
Maldives,United Kingdom,4
Mali,Algeria,1
Mali,Belgium,4
Mali,Benin,2
Mali,Burkina Faso,3
Mali,Cote d'Ivoire,4
Mali,France,3
Mali,Ghana,5
Mali,Guinea,2
Mali,Kenya,1
Mali,Liberia,1
Mali,Mali,8
Mali,Mauritania,2
Mali,Morocco,1
Mali,Niger,1
Mali,Portugal,1
Mali,Senegal,5
Mali,Spain,1
Mali,Togo,3
Mali,Tunisia,1
Malta,Austria,2
Malta,Belgium,2
Malta,Cyprus,2
Malta,Egypt,1
Malta,France,2
Malta,Germany,9
Malta,Greece,1
Malta,Ireland,1
Malta,Italy,13
Malta,Libya,2
Malta,Netherlands,3
Malta,Russia,1
Malta,Spain,2
Malta,Sweden,1
Malta,Switzerland,2
Malta,Tunisia,1
Malta,Turkey,2
Malta,United Kingdom,18
Marshall Islands,Marshall Islands,5
Marshall Islands,Micronesia,4
Marshall Islands,United States of America,2
Martinique,Canada,1
Martinique,Cuba,1
Martinique,Dominican Republic,1
Martinique,France,4
Martinique,French Guiana,2
Martinique,Guadeloupe,4
Martinique,Puerto Rico,1
Martinique,Saint Lucia,4
Mauritania,Algeria,1
Mauritania,France,1
Mauritania,Guinea,1
Mauritania,Mali,2
Mauritania,Mauritania,2
Mauritania,Morocco,2
Mauritania,Senegal,2
Mauritania,Tunisia,1
Mauritius,Australia,2
Mauritius,France,3
Mauritius,Germany,3
Mauritius,Hong Kong,1
Mauritius,India,6
Mauritius,Italy,4
Mauritius,Kenya,2
Mauritius,Madagascar,2
Mauritius,Malaysia,2
Mauritius,Mauritius,2
Mauritius,Reunion,6
Mauritius,Russia,1
Mauritius,Seychelles,1
Mauritius,South Africa,7
Mauritius,Switzerland,2
Mauritius,United Arab Emirates,2
Mauritius,United Kingdom,2
Mayotte,Comoros,4
Mayotte,France,1
Mayotte,Kenya,1
Mayotte,Madagascar,7
Mayotte,Reunion,1
Mexico,Argentina,3
Mexico,Brazil,2
Mexico,Canada,84
Mexico,Chile,3
Mexico,China,1
Mexico,Colombia,4
Mexico,Costa Rica,3
Mexico,Cuba,6
Mexico,El Salvador,2
Mexico,France,5
Mexico,Germany,4
Mexico,Guatemala,3
Mexico,Honduras,1
Mexico,Italy,1
Mexico,Japan,2
Mexico,Mexico,472
Mexico,Netherlands,3
Mexico,Panama,7
Mexico,Peru,5
Mexico,Russia,2
Mexico,Spain,10
Mexico,Switzerland,1
Mexico,United Kingdom,5
Mexico,United States of America,339
Mexico,Venezuela,1
Micronesia,Guam,4
Micronesia,Marshall Islands,4
Micronesia,Micronesia,8
Micronesia,Palau,2
Moldova,Austria,2
Moldova,Cyprus,1
Moldova,Germany,2
Moldova,Hungary,3
Moldova,Italy,6
Moldova,Romania,4
Moldova,Russia,5
Moldova,Spain,1
Moldova,Turkey,4
Moldova,Ukraine,2
Monaco,France,2
Mongolia,China,3
Mongolia,Hong Kong,1
Mongolia,Japan,1
Mongolia,Russia,2
Mongolia,South Korea,2
Montenegro,Austria,2
Montenegro,Croatia,1
Montenegro,Denmark,1
Montenegro,France,1
Montenegro,Germany,1
Montenegro,Hungary,1
Montenegro,Italy,1
Montenegro,Russia,4
Montenegro,Serbia,5
Montenegro,Slovenia,2
Montenegro,Switzerland,1
Montenegro,Turkey,1
Montserrat,Antigua and Barbuda,1
Morocco,Algeria,2
Morocco,Belgium,11
Morocco,Benin,1
Morocco,Burkina Faso,1
Morocco,Cameroon,2
Morocco,Canada,1
Morocco,Congo,1
Morocco,Congo,2
Morocco,Cote d'Ivoire,1
Morocco,Denmark,2
Morocco,Egypt,2
Morocco,Equatorial Guinea,1
Morocco,France,62
Morocco,Gabon,1
Morocco,Gambia,1
Morocco,Germany,14
Morocco,Ghana,1
Morocco,Guinea,1
Morocco,Guinea-Bissau,2
Morocco,Ireland,1
Morocco,Italy,12
Morocco,Lebanon,1
Morocco,Liberia,1
Morocco,Libya,1
Morocco,Luxembourg,1
Morocco,Mali,1
Morocco,Mauritania,2
Morocco,Morocco,20
Morocco,Netherlands,8
Morocco,Niger,1
Morocco,Nigeria,1
Morocco,Norway,2
Morocco,Portugal,3
Morocco,Russia,1
Morocco,Saudi Arabia,2
Morocco,Senegal,1
Morocco,Sierra Leone,1
Morocco,Spain,27
Morocco,Sweden,2
Morocco,Switzerland,2
Morocco,Togo,1
Morocco,Tunisia,3
Morocco,Turkey,3
Morocco,United Arab Emirates,3
Morocco,United Kingdom,13
Morocco,United States of America,2
Morocco,Western Sahara,4
Mozambique,Angola,2
Mozambique,Ethiopia,1
Mozambique,Kenya,4
Mozambique,Mozambique,34
Mozambique,Portugal,2
Mozambique,South Africa,15
Mozambique,Tanzania,1
Namibia,Angola,3
Namibia,Botswana,1
Namibia,Germany,2
Namibia,Ghana,1
Namibia,Namibia,10
Namibia,South Africa,8
Namibia,Zambia,1
Nepal,Bahrain,2
Nepal,Bangladesh,2
Nepal,Bhutan,1
Nepal,China,3
Nepal,Hong Kong,3
Nepal,India,11
Nepal,Malaysia,1
Nepal,Nepal,48
Nepal,Oman,1
Nepal,Pakistan,1
Nepal,Qatar,1
Nepal,Saudi Arabia,1
Nepal,Singapore,2
Nepal,South Korea,1
Nepal,Thailand,2
Nepal,United Arab Emirates,5
Netherlands,Argentina,1
Netherlands,Aruba,2
Netherlands,Austria,11
Netherlands,Bahrain,3
Netherlands,Belarus,1
Netherlands,Belgium,4
Netherlands,Bosnia and Herzegovina,1
Netherlands,Brazil,2
Netherlands,Bulgaria,2
Netherlands,Canada,8
Netherlands,Cape Verde,1
Netherlands,China,13
Netherlands,Croatia,1
Netherlands,Cuba,3
Netherlands,Cyprus,2
Netherlands,Czech Republic,6
Netherlands,Denmark,8
Netherlands,Dominican Republic,2
Netherlands,Ecuador,2
Netherlands,Egypt,6
Netherlands,Estonia,2
Netherlands,Finland,3
Netherlands,France,26
Netherlands,Germany,25
Netherlands,Ghana,1
Netherlands,Greece,3
Netherlands,Hong Kong,2
Netherlands,Hungary,3
Netherlands,Iceland,1
Netherlands,India,4
Netherlands,Iran,2
Netherlands,Ireland,3
Netherlands,Israel,2
Netherlands,Italy,25
Netherlands,Japan,2
Netherlands,Jordan,1
Netherlands,Kazakhstan,4
Netherlands,Kenya,3
Netherlands,Kuwait,3
Netherlands,Latvia,2
Netherlands,Lithuania,2
Netherlands,Luxembourg,1
Netherlands,Malaysia,3
Netherlands,Malta,2
Netherlands,Mexico,2
Netherlands,Morocco,7
Netherlands,Netherlands Antilles,4
Netherlands,Nigeria,3
Netherlands,Norway,13
Netherlands,Pakistan,1
Netherlands,Panama,2
Netherlands,Peru,2
Netherlands,Philippines,1
Netherlands,Poland,8
Netherlands,Portugal,10
Netherlands,Romania,3
Netherlands,Russia,4
Netherlands,Rwanda,2
Netherlands,Saudi Arabia,2
Netherlands,Serbia,2
Netherlands,Singapore,3
Netherlands,Slovenia,1
Netherlands,South Africa,3
Netherlands,South Korea,2
Netherlands,Spain,37
Netherlands,Sudan,3
Netherlands,Suriname,2
Netherlands,Sweden,6
Netherlands,Switzerland,7
Netherlands,Syria,2
Netherlands,Tanzania,1
Netherlands,Thailand,3
Netherlands,Tunisia,1
Netherlands,Turkey,5
Netherlands,Ukraine,2
Netherlands,United Arab Emirates,10
Netherlands,United Kingdom,49
Netherlands,United States of America,46
Netherlands Antilles,Anguilla,1
Netherlands Antilles,Antigua and Barbuda,1
Netherlands Antilles,Aruba,6
Netherlands Antilles,British Virgin Islands,2
Netherlands Antilles,Canada,3
Netherlands Antilles,Colombia,2
Netherlands Antilles,Dominica,1
Netherlands Antilles,Dominican Republic,3
Netherlands Antilles,France,5
Netherlands Antilles,Germany,1
Netherlands Antilles,Guadeloupe,1
Netherlands Antilles,Haiti,1
Netherlands Antilles,Jamaica,2
Netherlands Antilles,Martinique,1
Netherlands Antilles,Netherlands,4
Netherlands Antilles,Netherlands Antilles,13
Netherlands Antilles,Panama,1
Netherlands Antilles,Puerto Rico,3
Netherlands Antilles,Saint Kitts and Nevis,3
Netherlands Antilles,Saint Lucia,1
Netherlands Antilles,Suriname,1
Netherlands Antilles,Trinidad and Tobago,3
Netherlands Antilles,United States of America,22
Netherlands Antilles,Venezuela,6
Netherlands Antilles,Virgin Islands,2
New Caledonia,Australia,5
New Caledonia,Fiji,1
New Caledonia,French Polynesia,1
New Caledonia,Japan,2
New Caledonia,New Caledonia,20
New Caledonia,New Zealand,2
New Caledonia,South Korea,2
New Caledonia,Vanuatu,2
New Caledonia,Wallis and Futuna,1
New Zealand,Argentina,1
New Zealand,Australia,84
New Zealand,Canada,2
New Zealand,Chile,2
New Zealand,China,5
New Zealand,Cook Islands,2
New Zealand,Fiji,6
New Zealand,French Polynesia,3
New Zealand,Hong Kong,2
New Zealand,Japan,4
New Zealand,Malaysia,2
New Zealand,New Caledonia,2
New Zealand,New Zealand,123
New Zealand,Niue,1
New Zealand,Norfolk Island,1
New Zealand,Samoa,2
New Zealand,Singapore,3
New Zealand,South Korea,1
New Zealand,Thailand,2
New Zealand,Tonga,2
New Zealand,United States of America,11
New Zealand,Vanuatu,2
Nicaragua,Costa Rica,4
Nicaragua,El Salvador,3
Nicaragua,Guatemala,3
Nicaragua,Panama,2
Nicaragua,United States of America,9
Niger,Algeria,1
Niger,Burkina Faso,7
Niger,France,3
Niger,Mali,1
Niger,Morocco,1
Niger,Nigeria,1
Nigeria,Angola,1
Nigeria,Benin,3
Nigeria,Cameroon,2
Nigeria,Cote d'Ivoire,1
Nigeria,Egypt,3
Nigeria,Equatorial Guinea,1
Nigeria,Ethiopia,2
Nigeria,France,1
Nigeria,Gabon,1
Nigeria,Germany,5
Nigeria,Ghana,8
Nigeria,Kenya,2
Nigeria,Lebanon,2
Nigeria,Morocco,1
Nigeria,Netherlands,3
Nigeria,Niger,1
Nigeria,Nigeria,78
Nigeria,Qatar,1
Nigeria,Rwanda,1
Nigeria,Senegal,1
Nigeria,Sierra Leone,1
Nigeria,South Africa,2
Nigeria,Spain,1
Nigeria,Sudan,1
Nigeria,Togo,2
Nigeria,Turkey,1
Nigeria,United Arab Emirates,1
Nigeria,United Kingdom,5
Nigeria,United States of America,4
Niue,New Zealand,1
Norfolk Island,Australia,6
Norfolk Island,New Zealand,1
Northern Mariana Islands,China,2
Northern Mariana Islands,Guam,3
Northern Mariana Islands,Japan,4
Northern Mariana Islands,Northern Mariana Islands,6
Northern Mariana Islands,South Korea,3
Norway,Austria,5
Norway,Belgium,3
Norway,Cyprus,1
Norway,Czech Republic,2
Norway,Denmark,22
Norway,Estonia,5
Norway,Finland,4
Norway,France,7
Norway,Germany,22
Norway,Hungary,1
Norway,Iceland,2
Norway,Ireland,3
Norway,Italy,4
Norway,Latvia,9
Norway,Lithuania,4
Norway,Morocco,2
Norway,Netherlands,13
Norway,Norway,274
Norway,Pakistan,1
Norway,Poland,19
Norway,Portugal,3
Norway,Qatar,1
Norway,Russia,5
Norway,Serbia,1
Norway,Spain,20
Norway,Sweden,13
Norway,Switzerland,3
Norway,Thailand,1
Norway,Turkey,3
Norway,United Arab Emirates,1
Norway,United Kingdom,36
Norway,United States of America,3
Oman,Bahrain,2
Oman,Bangladesh,2
Oman,Egypt,2
Oman,France,1
Oman,Germany,2
Oman,India,18
Oman,Iran,2
Oman,Italy,1
Oman,Jordan,2
Oman,Kenya,2
Oman,Kuwait,2
Oman,Lebanon,1
Oman,Malaysia,2
Oman,Maldives,1
Oman,Nepal,1
Oman,Oman,4
Oman,Pakistan,15
Oman,Qatar,2
Oman,Saudi Arabia,6
Oman,Sri Lanka,2
Oman,Switzerland,1
Oman,Tanzania,2
Oman,Thailand,1
Oman,Turkey,1
Oman,United Arab Emirates,20
Oman,United Kingdom,2
Pakistan,Afghanistan,2
Pakistan,Bahrain,6
Pakistan,Bangladesh,3
Pakistan,Canada,3
Pakistan,China,5
Pakistan,Denmark,1
Pakistan,France,1
Pakistan,Germany,1
Pakistan,India,3
Pakistan,Iran,3
Pakistan,Italy,2
Pakistan,Kuwait,6
Pakistan,Malaysia,4
Pakistan,Nepal,1
Pakistan,Netherlands,1
Pakistan,Norway,1
Pakistan,Oman,15
Pakistan,Pakistan,112
Pakistan,Qatar,7
Pakistan,Saudi Arabia,30
Pakistan,Spain,3
Pakistan,Sri Lanka,2
Pakistan,Thailand,7
Pakistan,Turkey,4
Pakistan,United Arab Emirates,40
Pakistan,United Kingdom,7
Pakistan,Uzbekistan,1
Palau,Guam,2
Palau,Japan,2
Palau,Micronesia,2
Palau,Philippines,2
Palau,South Korea,2
Palau,Taiwan,1
Panama,Argentina,2
Panama,Aruba,2
Panama,Bahamas,1
Panama,Bolivia,1
Panama,Brazil,7
Panama,Canada,1
Panama,Chile,1
Panama,Colombia,12
Panama,Costa Rica,4
Panama,Cuba,2
Panama,Dominican Republic,4
Panama,Ecuador,4
Panama,El Salvador,2
Panama,Guatemala,1
Panama,Haiti,1
Panama,Honduras,1
Panama,Jamaica,2
Panama,Mexico,7
Panama,Netherlands,2
Panama,Netherlands Antilles,1
Panama,Nicaragua,4
Panama,Panama,16
Panama,Paraguay,1
Panama,Peru,1
Panama,Puerto Rico,3
Panama,Spain,1
Panama,Trinidad and Tobago,1
Panama,United States of America,28
Panama,Uruguay,1
Panama,Venezuela,4
Papua New Guinea,Australia,9
Papua New Guinea,Hong Kong,1
Papua New Guinea,Japan,1
Papua New Guinea,Papua New Guinea,118
Papua New Guinea,Philippines,1
Papua New Guinea,Singapore,1
Papua New Guinea,Solomon Islands,1
Paraguay,Argentina,4
Paraguay,Bolivia,2
Paraguay,Brazil,5
Paraguay,Chile,2
Paraguay,Panama,1
Paraguay,Paraguay,4
Paraguay,Peru,1
Paraguay,Uruguay,3
Peru,Argentina,6
Peru,Bolivia,7
Peru,Brazil,7
Peru,Canada,1
Peru,Chile,8
Peru,Colombia,3
Peru,Costa Rica,4
Peru,Cuba,1
Peru,Dominican Republic,2
Peru,Ecuador,4
Peru,El Salvador,2
Peru,France,1
Peru,Mexico,5
Peru,Netherlands,2
Peru,Panama,1
Peru,Paraguay,1
Peru,Peru,96
Peru,Spain,3
Peru,United States of America,17
Peru,Uruguay,1
Peru,Venezuela,2
Philippines,Australia,5
Philippines,Bahrain,2
Philippines,Brunei,2
Philippines,Canada,1
Philippines,China,19
Philippines,Guam,2
Philippines,Hong Kong,10
Philippines,Indonesia,3
Philippines,Japan,10
Philippines,Macau,6
Philippines,Malaysia,6
Philippines,Netherlands,1
Philippines,Palau,2
Philippines,Papua New Guinea,1
Philippines,Philippines,304
Philippines,Qatar,3
Philippines,Saudi Arabia,3
Philippines,Singapore,14
Philippines,South Korea,25
Philippines,Taiwan,7
Philippines,Thailand,6
Philippines,United Arab Emirates,4
Philippines,United States of America,4
Philippines,Vietnam,3
Poland,Armenia,2
Poland,Austria,4
Poland,Belarus,2
Poland,Belgium,7
Poland,Bulgaria,2
Poland,Canada,2
Poland,Cyprus,1
Poland,Czech Republic,7
Poland,Denmark,6
Poland,Egypt,2
Poland,Estonia,1
Poland,Finland,4
Poland,France,11
Poland,Georgia,1
Poland,Germany,54
Poland,Greece,1
Poland,Hungary,2
Poland,Iceland,2
Poland,Ireland,17
Poland,Israel,2
Poland,Italy,22
Poland,Latvia,2
Poland,Lithuania,1
Poland,Netherlands,8
Poland,Norway,19
Poland,Poland,38
Poland,Portugal,2
Poland,Romania,2
Poland,Russia,6
Poland,Serbia,2
Poland,Slovakia,2
Poland,Spain,13
Poland,Sweden,12
Poland,Switzerland,4
Poland,Turkey,2
Poland,Ukraine,8
Poland,United Kingdom,62
Poland,United States of America,6
Poland,Vietnam,1
Portugal,Algeria,1
Portugal,Angola,3
Portugal,Austria,2
Portugal,Belgium,9
Portugal,Brazil,18
Portugal,Canada,6
Portugal,Cape Verde,7
Portugal,Czech Republic,1
Portugal,Denmark,5
Portugal,Finland,1
Portugal,France,31
Portugal,Germany,30
Portugal,Ghana,1
Portugal,Greece,2
Portugal,Guinea-Bissau,1
Portugal,Hungary,1
Portugal,Ireland,3
Portugal,Italy,21
Portugal,Luxembourg,3
Portugal,Mali,1
Portugal,Morocco,3
Portugal,Mozambique,2
Portugal,Netherlands,10
Portugal,Norway,3
Portugal,Poland,2
Portugal,Portugal,84
Portugal,Russia,1
Portugal,Sao Tome and Principe,2
Portugal,Senegal,1
Portugal,Spain,43
Portugal,Sweden,2
Portugal,Switzerland,9
Portugal,Tunisia,1
Portugal,Turkey,2
Portugal,Ukraine,2
Portugal,United Kingdom,42
Portugal,United States of America,10
Portugal,Venezuela,3
Puerto Rico,Anguilla,1
Puerto Rico,Antigua and Barbuda,3
Puerto Rico,Barbados,1
Puerto Rico,British Virgin Islands,3
Puerto Rico,Canada,3
Puerto Rico,Dominica,1
Puerto Rico,Dominican Republic,6
Puerto Rico,France,1
Puerto Rico,Germany,1
Puerto Rico,Grenada,1
Puerto Rico,Guadeloupe,1
Puerto Rico,Martinique,1
Puerto Rico,Netherlands Antilles,2
Puerto Rico,Panama,3
Puerto Rico,Puerto Rico,11
Puerto Rico,Saint Kitts and Nevis,2
Puerto Rico,Saint Lucia,1
Puerto Rico,Saint Vincent and the Grenadines,1
Puerto Rico,United States of America,48
Puerto Rico,Venezuela,1
Puerto Rico,Virgin Islands,12
Qatar,Algeria,1
Qatar,Australia,1
Qatar,Austria,1
Qatar,Bahrain,10
Qatar,Bangladesh,1
Qatar,Belgium,1
Qatar,Brazil,1
Qatar,Canada,1
Qatar,China,4
Qatar,Denmark,1
Qatar,Egypt,4
Qatar,France,1
Qatar,Germany,8
Qatar,Greece,1
Qatar,Hong Kong,1
Qatar,Hungary,1
Qatar,India,15
Qatar,Indonesia,1
Qatar,Iran,6
Qatar,Italy,3
Qatar,Japan,2
Qatar,Jordan,2
Qatar,Kenya,1
Qatar,Kuwait,3
Qatar,Lebanon,2
Qatar,Libya,1
Qatar,Malaysia,2
Qatar,Maldives,1
Qatar,Nepal,2
Qatar,Nigeria,1
Qatar,Norway,1
Qatar,Oman,2
Qatar,Pakistan,7
Qatar,Philippines,3
Qatar,Romania,1
Qatar,Russia,1
Qatar,Saudi Arabia,8
Qatar,Seychelles,1
Qatar,Singapore,1
Qatar,South Africa,1
Qatar,South Korea,2
Qatar,Spain,2
Qatar,Sri Lanka,2
Qatar,Sudan,2
Qatar,Sweden,1
Qatar,Switzerland,2
Qatar,Syria,4
Qatar,Tanzania,1
Qatar,Thailand,1
Qatar,Tunisia,1
Qatar,Turkey,3
Qatar,Uganda,1
Qatar,United Arab Emirates,8
Qatar,United Kingdom,4
Qatar,United States of America,6
Qatar,Yemen,3
Reunion,Australia,1
Reunion,Comoros,1
Reunion,France,6
Reunion,Madagascar,10
Reunion,Mauritius,5
Reunion,Mayotte,1
Reunion,Seychelles,1
Reunion,South Africa,2
Reunion,Thailand,1
Romania,Austria,14
Romania,Belgium,3
Romania,Bulgaria,3
Romania,Cyprus,2
Romania,Czech Republic,1
Romania,Denmark,1
Romania,Egypt,1
Romania,France,8
Romania,Germany,24
Romania,Greece,3
Romania,Hungary,5
Romania,Ireland,1
Romania,Israel,2
Romania,Italy,44
Romania,Jordan,2
Romania,Lebanon,3
Romania,Moldova,4
Romania,Netherlands,3
Romania,Poland,2
Romania,Qatar,1
Romania,Romania,58
Romania,Russia,2
Romania,Serbia,2
Romania,Spain,18
Romania,Switzerland,1
Romania,Syria,2
Romania,Turkey,3
Romania,Ukraine,3
Romania,United Arab Emirates,1
Romania,United Kingdom,7
Russia,Afghanistan,1
Russia,Algeria,1
Russia,Armenia,35
Russia,Austria,22
Russia,Azerbaijan,22
Russia,Belarus,9
Russia,Belgium,2
Russia,Bulgaria,5
Russia,Canada,1
Russia,China,33
Russia,Croatia,1
Russia,Cuba,3
Russia,Cyprus,6
Russia,Czech Republic,28
Russia,Denmark,4
Russia,Dominican Republic,4
Russia,Egypt,9
Russia,Estonia,4
Russia,Finland,7
Russia,France,8
Russia,Georgia,4
Russia,Germany,59
Russia,Greece,5
Russia,Hong Kong,5
Russia,Hungary,4
Russia,India,6
Russia,Indonesia,3
Russia,Iran,2
Russia,Israel,13
Russia,Italy,21
Russia,Japan,5
Russia,Jordan,3
Russia,Kazakhstan,24
Russia,Kyrgyzstan,42
Russia,Latvia,8
Russia,Lebanon,1
Russia,Lithuania,1
Russia,Malaysia,1
Russia,Maldives,2
Russia,Malta,1
Russia,Mauritius,1
Russia,Mexico,2
Russia,Moldova,5
Russia,Mongolia,2
Russia,Montenegro,4
Russia,Morocco,1
Russia,Netherlands,4
Russia,Norway,5
Russia,Poland,6
Russia,Portugal,1
Russia,Qatar,1
Russia,Romania,2
Russia,Russia,935
Russia,Serbia,2
Russia,Seychelles,1
Russia,Singapore,2
Russia,Slovenia,2
Russia,South Korea,10
Russia,Spain,17
Russia,Sri Lanka,1
Russia,Sweden,4
Russia,Switzerland,7
Russia,Syria,3
Russia,Tajikistan,62
Russia,Thailand,18
Russia,Tunisia,1
Russia,Turkey,17
Russia,Turkmenistan,2
Russia,Ukraine,40
Russia,United Arab Emirates,19
Russia,United Kingdom,8
Russia,United States of America,17
Russia,Uzbekistan,79
Russia,Vietnam,7
Rwanda,Belgium,1
Rwanda,Burundi,5
Rwanda,Congo,1
Rwanda,Ethiopia,2
Rwanda,Kenya,11
Rwanda,Nigeria,1
Rwanda,Rwanda,5
Rwanda,South Africa,1
Rwanda,Tanzania,2
Rwanda,Uganda,14
Rwanda,United Arab Emirates,1
Saint Kitts and Nevis,Antigua and Barbuda,3
Saint Kitts and Nevis,British Virgin Islands,1
Saint Kitts and Nevis,Canada,1
Saint Kitts and Nevis,Netherlands Antilles,2
Saint Kitts and Nevis,Puerto Rico,2
Saint Kitts and Nevis,United States of America,4
Saint Lucia,Antigua and Barbuda,1
Saint Lucia,Barbados,2
Saint Lucia,Canada,3
Saint Lucia,Dominica,1
Saint Lucia,Martinique,4
Saint Lucia,Netherlands Antilles,1
Saint Lucia,Puerto Rico,1
Saint Lucia,Saint Vincent and the Grenadines,1
Saint Lucia,Trinidad and Tobago,2
Saint Lucia,United Kingdom,2
Saint Lucia,United States of America,5
Saint Pierre and Miquelon,Canada,3
Saint Vincent and the Grenadines,Barbados,2
Saint Vincent and the Grenadines,Dominica,1
Saint Vincent and the Grenadines,Grenada,2
Saint Vincent and the Grenadines,Puerto Rico,1
Saint Vincent and the Grenadines,Saint Lucia,1
Saint Vincent and the Grenadines,Trinidad and Tobago,1
Samoa,Fiji,1
Samoa,New Zealand,2
Samoa,United States of America,2
Sao Tome and Principe,Angola,1
Sao Tome and Principe,Cameroon,1
Sao Tome and Principe,Cape Verde,1
Sao Tome and Principe,Gabon,1
Sao Tome and Principe,Portugal,2
Saudi Arabia,Bahrain,11
Saudi Arabia,Bangladesh,6
Saudi Arabia,Brunei,1
Saudi Arabia,China,1
Saudi Arabia,Djibouti,1
Saudi Arabia,Egypt,31
Saudi Arabia,Eritrea,3
Saudi Arabia,Ethiopia,4
Saudi Arabia,France,4
Saudi Arabia,Germany,10
Saudi Arabia,Hong Kong,1
Saudi Arabia,India,36
Saudi Arabia,Indonesia,3
Saudi Arabia,Iran,1
Saudi Arabia,Italy,4
Saudi Arabia,Jordan,9
Saudi Arabia,Kenya,2
Saudi Arabia,Kuwait,11
Saudi Arabia,Lebanon,8
Saudi Arabia,Malaysia,3
Saudi Arabia,Morocco,2
Saudi Arabia,Nepal,1
Saudi Arabia,Netherlands,2
Saudi Arabia,Oman,6
Saudi Arabia,Pakistan,32
Saudi Arabia,Philippines,3
Saudi Arabia,Qatar,8
Saudi Arabia,Saudi Arabia,137
Saudi Arabia,Singapore,1
Saudi Arabia,South Africa,1
Saudi Arabia,Sri Lanka,6
Saudi Arabia,Sudan,9
Saudi Arabia,Switzerland,2
Saudi Arabia,Syria,12
Saudi Arabia,Tunisia,2
Saudi Arabia,Turkey,10
Saudi Arabia,United Arab Emirates,40
Saudi Arabia,United Kingdom,6
Saudi Arabia,United States of America,4
Saudi Arabia,Yemen,18
Senegal,Algeria,1
Senegal,Belgium,1
Senegal,Benin,1
Senegal,Burkina Faso,1
Senegal,Cape Verde,2
Senegal,Cote d'Ivoire,2
Senegal,France,3
Senegal,Gambia,3
Senegal,Guinea,2
Senegal,Guinea-Bissau,3
Senegal,Italy,1
Senegal,Liberia,1
Senegal,Mali,5
Senegal,Mauritania,2
Senegal,Morocco,1
Senegal,Nigeria,1
Senegal,Portugal,1
Senegal,Senegal,4
Senegal,South Africa,2
Senegal,Spain,3
Senegal,Togo,2
Senegal,Tunisia,1
Senegal,Turkey,1
Senegal,United Arab Emirates,1
Senegal,United States of America,3
Serbia,Austria,6
Serbia,Belgium,2
Serbia,Bosnia and Herzegovina,1
Serbia,Croatia,1
Serbia,Cyprus,1
Serbia,Denmark,2
Serbia,France,2
Serbia,Germany,23
Serbia,Greece,4
Serbia,Hungary,3
Serbia,Italy,8
Serbia,Macedonia,1
